Codigo;Nome;Categoria;TUSS;Valor Particular;Valor Unimed279;Valor UnimedCompleta;Preparo;Nome Original PDF
USPERBIF;US Obstétrica Perfil Biofasico Fetal;Ultrassom;40901505;272,00;;141,23;***************************AVISAR O MÉDICO QUANDO AGENDAR*************************** TRAZER EXAMES ANTERIORES, CARTEIRINHA DE GESTANTE, CHEGAR COM 15 minutos de antecedência.;US OBSTETRICA PERFIL BIOFASICO FETAL
USOBGEMF;US Obstétrico Gemelar - Cada Feto;Ultrassom;40901270;136,00;;59,20;Bexiga vazia, carteirinha da gestante.;US OBSTETRICO GEMELAR - CADA FETO
USOBGDOF;US Obstétrico Gemelar com Doppler - Cada Feto;Ultrassom;40901289;374,00;;56,83;Bexiga vazia, carteirinha da gestante.;US OBSTETRICO GEMELAR COM DOPPLER - CADA FETO
USOMBDIR;US Ombro Direito;Ultrassom;40901220;153,00;;76,11;;US OMBRO DIREITO
USOMBESQ;US Ombro Esquerdo;Ultrassom;40901220;153,00;;76,11;;US OMBRO ESQUERDO
USPANDIR;US Panturrilha Direita;Ultrassom;;153,00;;;;US PANTURRILHA DIREITA
USPANESQ;US Panturrilhar Esquerda;Ultrassom;;153,00;;;;US PANTURRILHAR ESQUERDA
USPARABD;US Parede Abdominal;Ultrassom;40901211;153,00;;76,11;;US PAREDE ABDOMINAL
USPARMOL;US Partes Moles;Ultrassom;;153,00;;;;US PARTES MOLES
USPATDIR;US Patela Direita;Ultrassom;;153,00;;;;US PATELA DIREITA
USPATESQ;US Patela Esquerda;Ultrassom;;153,00;;;;US PATELA ESQUERDA
USPEDIRE;US Pé Direito;Ultrassom;;153,00;;;;US PE DIREITO
USPEESQU;US Pé Esquerdo;Ultrassom;;153,00;;;;US PE ESQUERDO
USPERIAN;US Perianal;Ultrassom;;153,00;;;;US PERIANAL
USPERDIR;US Perna Direita;Ultrassom;;153,00;;;;US PERNA DIREITA
USPERESQ;US Perna Esquerda;Ultrassom;;153,00;;;;US PERNA ESQUERDA
USPESCOC;US Pescoço;Ultrassom;;153,00;;;;US PESCOCO
USPOPDIR;US Popliteo Direito;Ultrassom;;153,00;;;;US POPLITEO DIREITO
USPOPESQ;US Popliteo Esquerdo;Ultrassom;;153,00;;;;US POPLITEO ESQUERDO
USPROTRA;US Próstata Transretal;Ultrassom;40901335;178,50;;126,86;Dieta leve no dia anterior (sopa de legumes, chá com bolacha água e sal), devendo evitar refrigerante, água com gás, sucos, leite e derivados, pão, macarrão, ovo, doces e alimentos gordurosos. Bexiga cheia, trazer exames anteriores se possível.;US PROSTATA TRANSRETAL
USPROABD;US Próstata Via Abdominal;Ultrassom;40901750;153,00;;63,43;Dieta leve no dia anterior (sopa de legumes, chá com bolacha água e sal), devendo evitar refrigerante, água com gás, sucos, leite e derivados, pão, macarrão, ovo, doces e alimentos gordurosos. Bexiga cheia, trazer exames anteriores se possível.;US PROSTATA VIA ABDOMINAL
USPUNDIR;US Punho Direito · Gerado Automaticamente;Ultrassom;40901220;153,00;;76,11;Página 18.;US PUNHO DIREITO · Gerado automaticamente
USPUNESQ;US Punho Esquerdo;Ultrassom;40901220;153,00;;76,11;Página 24.;US PUNHO ESQUERDO
USQUADIR;US Quadril Direito;Ultrassom;40901220;153,00;;76,11;;US QUADRIL DIREITO
USQUAESQ;US Quadril Esquerdo;Ultrassom;40901220;153,00;;76,11;;US QUADRIL ESQUERDO
USREINDI;US Região Inguinal Direita;Ultrassom;;153,00;;;;US REGIAO INGUINAL DIREITA
USREINES;US Região Inguinal Esquerda;Ultrassom;;153,00;;;;US REGIAO INGUINAL ESQUERDA
USREGSAC;US Região Sacral;Ultrassom;;153,00;;;;US REGIAO SACRAL
USRESUMB;US Região Supra Umbilical;Ultrassom;;153,00;;;;US REGIAO SUPRA UMBILICAL
USRETDIR;US Retroauricular Direito;Ultrassom;;153,00;;;;US RETROAURICULAR DIREITO
USRETESQ;US Retroauricular Esquerdo;Ultrassom;;153,00;;;;US RETROAURICULAR ESQUERDO
USRETROP;US Retroperitonio;Ultrassom;40901149;153,00;;105,71;Página 45.;US RETROPERITONIO
USSUPPUB;US Supra Pubico;Ultrassom;;153,00;;;;US SUPRA PUBICO
USTENAQI;US Tendao Aquiles Esquerdo;Ultrassom;;153,00;;;;US TENDAO AQUILES ESQUERDO
USTENAQU;US Tendao de Aquiles Direito;Ultrassom;;153,00;;;;US TENDAO DE AQUILES DIREITO
USTIREOD;US Tireoide;Ultrassom;;153,00;;;;US TIREOIDE
USTORAX;US Tórax;Ultrassom;;153,00;;;;US TORAX
USTORDIR;US Tornozelo Direito;Ultrassom;40901220;153,00;;76,11;;US TORNOZELO DIREITO
USTORESQ;US Tornozelo Esquerdo;Ultrassom;40901220;153,00;;76,11;;US TORNOZELO ESQUERDO
USTRANSV;US Transvaginal;Ultrassom;40901300;153,00;;84,57;Bexiga vazia, trazer exames anteriores se possível.;US TRANSVAGINAL
USTRCOLO;US Transvaginal Para Analise de Colo de Utero;Ultrassom;40901300;153,00;;84,57;;US TRANSVAGINAL PARA ANALISE DE COLO DE UTERO
USACREBA;Usg 3d/4d - Acrescentar Exame Base;Ultrassom;;335,75;;;;USG 3D/4D - ACRESCENTAR EXAME BASE
USORGSUP;Usg Órgãos Superficiais (tireoide Ou Escroto Ou Penis · Gerado Automaticamente;Ultrassom;40901203;153,00;;76,11;Sem preparo, trazer exames anteriores. Chegar com 15 minutos de antecedência. Página 19.;USG ORGAOS SUPERFICIAIS (TIREOIDE OU ESCROTO OU PENIS · Gerado automaticamente
ANTCCORO;Angiotomografia Coronariana;Tomografia;41001230;;;135,31;"ORIENTAÇÕES ANGIOTOMOGRAFIA DAS ARTÉRIAS CORONÁRIAS 1 - Chegar de 30 minutos antes do horário agendado; 2 - Não recomendamos jejum antes da realização do exame. Orientamos ingestão branda de alimentos, de preferência, frutas e líquidos. Evite refeição copiosa, de grande volume. 3 - Mantenha suas medicações de uso contínuo com as tomadas nos mesmos horários (se possível, nos envie foto da sua receita médica); 4 - Traga exames cardiológicos realizados recentemente (ecocardiografia, cateterismo cardíaco, cintilografia, teste ergométrico, entre outros). 5 - Se você já realizou cirurgia cardíaca (troca valvar, ponte de safena, entre outras) traga, se possível, a descrição cirúrgica. 6 - Se você tem alguma doença renal já sabida, rim único ou mais de 75 anos: Traga exame recente de CREATININA (exame de sangue). Obs.: Não ingerir medicamentos contra disfunção erétil (Viagra, Cialis, Levitra, Tada diário, por exemplo) 48 horas antes do exame; Se você for alérgico a contraste iodado, favor comunicar nossa equipe. Poderá ser necessário o uso de medicações antialérgicas antes do procedimento.";ANGIOTOMOGRAFIA CORONARIANA
TCCOLCDL;TC Coluna Cervical - Ate 3 Segmentos;Tomografia;41001125;;;135,31;SEM ADORNOS.;TC COLUNA CERVICAL - ATE 3 SEGMENTOS
TCCOLDC;TC Coluna Lombar - Ate 3 Segmentos;Tomografia;41001125;;;135,31;SEM ADORNOS.;TC COLUNA LOMBAR - ATE 3 SEGMENTOS
ANESTRM;Anestesia Para RM;Outros;31602282;;;312,91;;ANESTESIA PARA RM
ANESTTC;Anestesia Para TC;Outros;31602274;;;211,43;;ANESTESIA PARA TC
ANRMARAB;Angiorressonância Arterial Abdome Superior;Ressonância;41101510;;;135,31;Jejum de 4 horas. Trazer exames anteriores, se tiver. Chegar com 30 minutos de antecedência. Sem adorno, sem tatuagem recente 30 dias, Sem cabelo úmido. Caso tenha marca-passo ou algum dispositivo metálico, necessário ser informado anteriormente.;ANGIORESSONANCIA ARTERIAL ABDOME SUPERIOR
ANRMAPUL;Angiorressonância Arterial Pulmonar;Ressonância;41101499;;;135,31;Jejum de 4 horas. Trazer exames anteriores, se tiver. Chegar com 30 minutos de antecedência. Sem adorno, sem tatuagem recente 30 dias, Sem cabelo úmido. Caso tenha marca-passo ou algum dispositivo metálico, necessário ser informado anteriormente.;ANGIORESSONANCIA ARTERIAL PULMONAR
ANRMARVE;Angiorressonância Venosa Abdome Superior;Ressonância;41101529;;;135,31;Jejum de 4 horas. Trazer exames anteriores, se tiver. Chegar com 30 minutos de antecedência. Sem adorno, sem tatuagem recente 30 dias, Sem cabelo úmido. Caso tenha marca-passo ou algum dispositivo metálico, necessário ser informado anteriormente.;ANGIORESSONANCIA VENOSA ABDOME SUPERIOR
ANRMVPUL;Angiorressonância Venosa Pulmonar;Ressonância;41101502;;;135,31;Jejum de 4 horas. Trazer exames anteriores, se tiver. Chegar com 30 minutos de antecedência. Sem adorno, sem tatuagem recente 30 dias, Sem cabelo úmido. Caso tenha marca-passo ou algum dispositivo metálico, necessário ser informado anteriormente.;ANGIORESSONANCIA VENOSA PULMONAR
ANTCAABS;Angiotomografia Arterial Abdome Superior;Tomografia;41001435;;;153,61;Jejum de 4horas Trazer exames anteriores e pedido médico.;ANGIOTOMOGRAFIA ARTERIAL ABDOME SUPERIOR
ANTCVEPU;Angiotomografia Venosa Pulmonar;Tomografia;41001524;;;153,61;Jejum de 4 horas Trazer exames anteriores e pedido médico.;ANGIOTOMOGRAFIA VENOSA PULMONAR
ARRMOMD;Artroressonancia Ombro Direito;Ressonância;41102010;;;225,29;;ARTRORESSONANCIA OMBRO DIREITO
ARRMOME;Artroressonancia Ombro Esquerdo;Ressonância;41102010;;;225,29;;ARTRORESSONANCIA OMBRO ESQUERDO
ARTCOMBD;Artrotomgrafia Ombro Direito;Outros;41002059;;;135,31;;ARTROTOMGRAFIA OMBRO DIREITO
ARTCOMBE;Artrotomgrafia Ombro Esquerdo;Outros;41002059;;;135,31;;ARTROTOMGRAFIA OMBRO ESQUERDO
COREBIOP;Core Biopsy (adicionar Exame de Base) - Ate Dois Nodulos;Outros;40808262;;;363,64;;CORE BIOPSY (ADICIONAR EXAME DE BASE) - ATE DOIS NODULOS
DOPTRANC;Doppler Colorido Transcraniano;Ultrassom;40901602;;;119,07;;DOPPLER COLORIDO TRANSCRANIANO
MAMOESPC;Mamografia Digital Especialista;Mamografia;40808041;;;72,53;Não usarem nenhum cosmético (desodorante, creme, talco, oleo etc) nas mamas e axilas no dia do exame. Caso a paciente tenha agendado ultrassonografia de mamas, deve se realizar primeiro a mamografia. Em caso de pacientes lactantes (Que estao amamentando), deve se realizar a ordenha antes de vir realizar o exame. Certificar que a paciente nao realizou cirurgia de mama nos ultimos 12 meses. Caso tenha feito o exame for de rotina aguardar esse periodo para agendamento. Em caso de paciente sintomaticos, a mesma deve trazer um termo de responsabilidade medica para que o exame seja realizado. Trazer exames anteriores (caso tenha).;MAMOGRAFIA DIGITAL ESPECIALISTA
PCTANGCO;Pacote Angiotomografia Coronariana;Tomografia;98030909;;;912,81;;PACOTE ANGIOTOMOGRAFIA CORONARIANA
PUNBIGUS;Puncao Biopsia Guiada por Ultrassonografia;Ultrassom;40809161;;;147,20;;PUNCAO BIOPSIA GUIADA POR ULTRASSONOGRAFIA
PUBIORRM;Puncao Biopsia Orientada por Ressonância;Ressonância;40809188;;;147,20;;PUNCAO BIOPSIA ORIENTADA POR RESSONANCIA
PUARTORI;Puncao Orientada por Tomografia · Gerado Automaticamente;Tomografia;40809170;;;147,20;Página 29.;PUNCAO ORIENTADA POR TOMOGRAFIA · Gerado automaticamente
REPEEXTC;Repeticao de Exame de Tomografia;Tomografia;;;;;;REPETICAO DE EXAME DE TOMOGRAFIA
RMABSUES;RM Abdome Superior Especialista;Ressonância;41101170;;;135,31;Jejum de 8 horas. Trazer exames anteriores, se tiver. Chegar com 30 minutos de antecedência. Sem adorno, sem tatuagem recente 30 dias, Sem cabelo úmido. Caso tenha marca-passo ou algum dispositivo metálico, necessário ser informado anteriormente.;RM ABDOME SUPERIOR ESPECIALISTA
RMANTESP;RM Antebraço Especialista;Ressonância;41101251;;;135,31;Trazer exames anteriores, se tiver. Chegar com 30 minutos de antecedência. Sem adorno, sem tatuagem recente 30 dias, Sem cabelo úmido. Caso tenha marca-passo ou algum dispositivo metálico, necessário ser informado anteriormente.;RM ANTEBRACO ESPECIALISTA
RMANEESP;RM Antebraço Esquerdo Especialista;Ressonância;41101251;;;135,31;Trazer exames anteriores, se tiver. Chegar com 30 minutos de antecedência. Sem adorno, sem tatuagem recente 30 dias, Sem cabelo úmido. Caso tenha marca-passo ou algum dispositivo metálico, necessário ser informado anteriormente.;RM ANTEBRACO ESQUERDO ESPECIALISTA
RMBACESO;RM Bacia Especialista;Ressonância;41101278;;;135,31;Trazer exames anteriores, se tiver. Chegar com 30 minutos de antecedência. Sem adorno, sem tatuagem recente 30 dias, Sem cabelo úmido. Caso tenha marca-passo ou algum dispositivo metálico, necessário ser informado anteriormente.;RM BACIA ESPECIALISTA
RMBRADES;RM Braço Direito Especialista;Ressonância;41101251;;;135,31;Trazer exames anteriores, se tiver. Chegar com 30 minutos de antecedência. Sem adorno, sem tatuagem recente 30 dias, Sem cabelo úmido. Caso tenha marca-passo ou algum dispositivo metálico, necessário ser informado anteriormente.;RM BRACO DIREITO ESPECIALISTA
RMBRAEES;RM Braço Esquerdo Especialista;Ressonância;41101251;;;135,31;Trazer exames anteriores, se tiver. Chegar com 30 minutos de antecedência. Sem adorno, sem tatuagem recente 30 dias, Sem cabelo úmido. Caso tenha marca-passo ou algum dispositivo metálico, necessário ser informado anteriormente.;RM BRACO ESQUERDO ESPECIALISTA
RMCOCEES;RM Coluna Cervical Especialista;Ressonância;41101227;;;135,31;Trazer exames anteriores, se tiver. Chegar com 30 minutos de antecedência. Sem adorno, sem tatuagem recente 30 dias, Sem cabelo úmido. Caso tenha marca-passo ou algum dispositivo metálico, necessário ser informado anteriormente.;RM COLUNA CERVICAL ESPECIALISTA
RMCODESP;RM Coluna Dorsal Especialista;Ressonância;41101227;;;135,31;Trazer exames anteriores, se tiver. Chegar com 30 minutos de antecedência. Sem adorno, sem tatuagem recente 30 dias, Sem cabelo úmido. Caso tenha marca-passo ou algum dispositivo metálico, necessário ser informado anteriormente.;RM COLUNA DORSAL ESPECIALISTA
RMCOLLES;RM Coluna Lombar Especialista · Gerado Automaticamente;Ressonância;41101227;;;135,31;Trazer exames anteriores, se tiver. Chegar com 30 minutos de antecedência. Sem adorno, sem tatuagem recente 30 dias, Sem cabelo úmido. Caso tenha marca-passo ou algum dispositivo metálico, necessário ser informado anteriormente. Página 31.;RM COLUNA LOMBAR ESPECIALISTA · Gerado automaticamente
