Codigo;Nome;Categoria;TUSS;Valor Particular;Valor Unimed279;Valor UnimedCompleta;Preparo;Nome Original PDF
RMCOMFUN;RM Coração Morfologico e Funcional · Gerado Automaticamente;Ressonância;41101138;;;169,14;"Ao e necessário jejum Suspender 48 antes do exame alimentos que contenham xantina e cafeina, chimarrao ,cafe, cafe descafeinado, cha, bebida alcoolica, refrigerante e chocolate Suspender 48 antes do exame medicamentos Aminofilina, Teofilina, Bamifix, Antigripais,Relaxante musculares e analgesicos Trazer resultados de exame laboratorial de Creatinina recente (Ate 90 dias) para portadores de diabetes, hipertensao, doença renal e/ou maiores de 60. Falta desses exames pode ocasionar suspensao do exame Sem adornos, Cabelo nao úmido. Dispositivos e implantes metalicos necessário aviso previo. Evitar o uso de joias (aliança, relógio, piercing, brinco, etc.). Suspender 48h antes os seguintes medicamentos para asma/ enfisema pulmonar: Aminofilina, teofilina, bamifix. Trazer exames anteriores referente ao coração (cirurgia, cateterismo, etc.) 24 horas antes do exame fazer uma dieta sem xantina e cafeína (chá, café, café descafeinado, bebida alcoólica, refrigerante, chocolate e chimarrão), medicamentos que contenham cafeína como: antigripais, relaxantes musculares e analgésicos. É obrigatório a presença de um acompanhante para pacientes com idade inferior a 18 anos e superior a 65 anos. Trazer resultado de exame laboratorial de creatinina recente (até 90 dias), para portadores de diabetes, hipertensão, doença renal e/ou maiores de 60 anos. A falta do resultado da creatinina, nas condições acima mencionadas, poderá ocasionar a suspensão do exame. Caso tenha realizado tatuagem ou maquiagem definitiva nos últimos 15 dias não poderá realizar o exame. ***************** *********CONTRAINDICAÇÕES********************* ***** (cid:127) Peso de 180kg para Ressonância em Sumaré; 150kg em Jundiaí; 150kg em Indaiatuba e Hortolândia e em Campinas até 200kg RM 3Tesla demais até 150kg. (cid:127) Circunferência torácica e abdominal acima de 160cm (cid:127) Expansores mamários dos tipos MCGHAN ou INFALL (cid:127) Próteses Penianas dos tipos DURAPHASE e OMNIPHASE (cid:127) Marca-passo cardíaco (cid:127) HOLTER (cid:127) Desfibrilador implantável (cid:127) Aparelhos Auditivos não removíveis (cid:127) Implante (Prótese) Coclear/Otológicos (cid:127) Clips de Aneurisma Cerebral Ferromagnético colocados antes de 1995 (cid:127) Cápsula endoscópica (cid:127) Bombas de infusão (Inclusive implantáveis) (cid:127) Cateter de SWAN-GANZ e outros com eletrodos (cid:127) Clamp Carotídeo do tipo POPEN-BLAYLOCK (cid:127) Fixadores ortopédicos externos não removíveis (cid:127) Monitor de PIC (Pressão Intracraniana) (cid:127) Neuro-estimulador (cid:127) Halos Cranianos ******* ATENÇÃO ******* (cid:127) TATUAGEM OU MAQUIAGEM DEFINITIVA: Pacientes com tatuagem ou maquiagem definitiva podem realizar o exame somente após 15 dias de pigmentação. (cid:127) CÍLIOS POSTIÇOS: Necessário retirar cílios postiços magnéticos (cola/imã). (cid:127) LACTANTES: Suspender a amamentação 24 horas caso realize Ressonância Magnética com a necessidade de contraste venoso. (cid:127) GESTANTES: Confirmar com seu médico a possibilidade de realizar o exame de Ressonância Magnética. Contraindicado no primeiro trimestre de gestação. (cid:127) PRÓTESES MAMÁRIAS: Mulheres com Próteses precisam aguardar 15 dias após a cirurgia para realizar Ressonância Magnética. (cid:127) PRÓTESES ORTOPÉDICAS: Pacientes com próteses ortopédicas, placas, parafusos, pinos é necessário aguardar 15 dias após a cirurgia. (cid:127) PRÓTESES PENIANAS: Homens com próteses penianas precisam aguardar 15 dias após a cirurgia para realizar Ressonância Magnética. NOS DEMAIS CASOS, ENTRAR EM CONTATO PARA VERIFICAR A PERMISSÃO. Página 32.";RM CORACAO MORFOLOGICO E FUNCIONAL · Gerado automaticamente
RMCOMFU;RM Coração Morfologico e Funcional + Perfusao + Estresse · Gerado Automaticamente;Ressonância;41101146;;;135,18;Ao e necessário jejum Suspender 48 antes do exame alimentos que contenham xantina e cafeina, chimarrao ,cafe, cafe descafeinado, cha, bebida alcoolica, refrigerante e chocolate Suspender 48 antes do exame medicamentos Aminofilina, Teofilina, Bamifix, Antigripais,Relaxante musculares e analgesicos Trazer resultados de exame laboratorial de Creatinina recente (Ate 90 dias) para portadores de diabetes, hipertensao, doença renal e/ou maiores de 60. Falta desses exames pode ocasionar suspensao do exame Sem adornos, Cabelo nao úmido. Dispositivos e implantes metalicos necessário aviso previo. Página 33.;RM CORACAO MORFOLOGICO E FUNCIONAL + PERFUSAO + ESTRESSE · Gerado automaticamente
RMCOVIAP;RM Coração Morfologico e Funcional + Perfusao + Viabilid · Gerado Automaticamente;Ressonância;41101154;;;169,14;"Ao e necessário jejum Suspender 48 antes do exame alimentos que contenham xantina e cafeina, chimarrao ,cafe, cafe descafeinado, cha, bebida alcoolica, refrigerante e chocolate Suspender 48 antes do exame medicamentos Aminofilina, Teofilina, Bamifix, Antigripais,Relaxante musculares e analgesicos Trazer resultados de exame laboratorial de Creatinina recente (Ate 90 dias) para portadores de diabetes, hipertensao, doença renal e/ou maiores de 60. Falta desses exames pode ocasionar suspensao do exame Sem adornos, Cabelo nao úmido. Dispositivos e implantes metalicos necessário aviso previo. Evitar o uso de joias (aliança, relógio, piercing, brinco, etc.). Suspender 48h antes os seguintes medicamentos para asma/ enfisema pulmonar: Aminofilina, teofilina, bamifix. Trazer exames anteriores referente ao coração (cirurgia, cateterismo, etc.) 24 horas antes do exame fazer uma dieta sem xantina e cafeína (chá, café, café descafeinado, bebida alcoólica, refrigerante, chocolate e chimarrão), medicamentos que contenham cafeína como: antigripais, relaxantes musculares e analgésicos. É obrigatório a presença de um acompanhante para pacientes com idade inferior a 18 anos e superior a 65 anos. Trazer resultado de exame laboratorial de creatinina recente (até 90 dias), para portadores de diabetes, hipertensão, doença renal e/ou maiores de 60 anos. A falta do resultado da creatinina, nas condições acima mencionadas, poderá ocasionar a suspensão do exame. Caso tenha realizado tatuagem ou maquiagem definitiva nos últimos 15 dias não poderá realizar o exame. ***************** *********CONTRAINDICAÇÕES********************* ***** (cid:127) Peso de 180kg para Ressonância em Sumaré; 150kg em Jundiaí; 150kg em Indaiatuba e Hortolândia e em Campinas até 200kg RM 3Tesla demais até 150kg. (cid:127) Circunferência torácica e abdominal acima de 160cm (cid:127) Expansores mamários dos tipos MCGHAN ou INFALL (cid:127) Próteses Penianas dos tipos DURAPHASE e OMNIPHASE (cid:127) Marca-passo cardíaco (cid:127) HOLTER (cid:127) Desfibrilador implantável (cid:127) Aparelhos Auditivos não removíveis (cid:127) Implante (Prótese) Coclear/Otológicos (cid:127) Clips de Aneurisma Cerebral Ferromagnético colocados antes de 1995 (cid:127) Cápsula endoscópica (cid:127) Bombas de infusão (Inclusive implantáveis) (cid:127) Cateter de SWAN-GANZ e outros com eletrodos (cid:127) Clamp Carotídeo do tipo POPEN-BLAYLOCK (cid:127) Fixadores ortopédicos externos não removíveis (cid:127) Monitor de PIC (Pressão Intracraniana) (cid:127) Neuro-estimulador (cid:127) Halos Cranianos ******* ATENÇÃO ******* (cid:127) TATUAGEM OU MAQUIAGEM DEFINITIVA: Pacientes com tatuagem ou maquiagem definitiva podem realizar o exame somente após 15 dias de pigmentação. (cid:127) CÍLIOS POSTIÇOS: Necessário retirar cílios postiços magnéticos (cola/imã). (cid:127) LACTANTES: Suspender a amamentação 24 horas caso realize Ressonância Magnética com a necessidade de contraste venoso. (cid:127) GESTANTES: Confirmar com seu médico a possibilidade de realizar o exame de Ressonância Magnética. Contraindicado no primeiro trimestre de gestação. (cid:127) PRÓTESES MAMÁRIAS: Mulheres com Próteses precisam aguardar 15 dias após a cirurgia para realizar Ressonância Magnética. (cid:127) PRÓTESES ORTOPÉDICAS: Pacientes com próteses ortopédicas, placas, parafusos, pinos é necessário aguardar 15 dias após a cirurgia. (cid:127) PRÓTESES PENIANAS: Homens com próteses penianas precisam aguardar 15 dias após a cirurgia para realizar Ressonância Magnética. NOS DEMAIS CASOS, ENTRAR EM CONTATO PARA VERIFICAR A PERMISSÃO. Página 34.";RM CORACAO MORFOLOGICO E FUNCIONAL + PERFUSAO + VIABILID · Gerado automaticamente
RMCOTDES;RM Cotovelo Direito Especialista;Ressonância;41101316;;;135,31;Trazer exames anteriores, se tiver. Chegar com 30 minutos de antecedência. Sem adorno, sem tatuagem recente 30 dias, Sem cabelo úmido. Caso tenha marca-passo ou algum dispositivo metálico, necessário ser informado anteriormente.;RM COTOVELO DIREITO ESPECIALISTA
RMCOTEES;RM Cotovelo Esquerdo Especialista;Ressonância;41101316;;;135,31;Trazer exames anteriores, se tiver. Chegar com 30 minutos de antecedência. Sem adorno, sem tatuagem recente 30 dias, Sem cabelo úmido. Caso tenha marca-passo ou algum dispositivo metálico, necessário ser informado anteriormente.;RM COTOVELO ESQUERDO ESPECIALISTA
RMCOXDES;RM Coxa Direita Especialista;Ressonância;41101286;;;135,31;Trazer exames anteriores, se tiver. Chegar com 30 minutos de antecedência. Sem adorno, sem tatuagem recente 30 dias, Sem cabelo úmido. Caso tenha marca-passo ou algum dispositivo metálico, necessário ser informado anteriormente.;RM COXA DIREITA ESPECIALISTA
RMCOESES;RM Coxa Esquerda Especialista;Ressonância;41101286;;;135,31;Trazer exames anteriores, se tiver. Chegar com 30 minutos de antecedência. Sem adorno, sem tatuagem recente 30 dias, Sem cabelo úmido. Caso tenha marca-passo ou algum dispositivo metálico, necessário ser informado anteriormente.;RM COXA ESQUERDA ESPECIALISTA
RMCRESP;RM Crânio Especialista;Ressonância;41101014;;;135,31;Jejum 4 horas razer exames anteriores, se tiver. Chegar com 30 minutos de antecedência. Sem adorno, sem tatuagem recente 30 dias, Sem cabelo úmido. Caso tenha marca-passo ou algum dispositivo metálico, necessário ser informado anteriormente.;RM CRANIO ESPECIALISTA
RMJODIES;RM Joelho Direito Especialista;Ressonância;41101316;;;135,31;Razer exames anteriores, se tiver. Chegar com 30 minutos de antecedência. Sem adorno, sem tatuagem recente 30 dias, Sem cabelo úmido. Caso tenha marca-passo ou algum dispositivo metálico, necessário ser informado anteriormente.;RM JOELHO DIREITO ESPECIALISTA
RMJOESES;RM Joelho Esquerdo Especialista;Ressonância;41101316;;;135,31;Razer exames anteriores, se tiver. Chegar com 30 minutos de antecedência. Sem adorno, sem tatuagem recente 30 dias, Sem cabelo úmido. Caso tenha marca-passo ou algum dispositivo metálico, necessário ser informado anteriormente.;RM JOELHO ESQUERDO ESPECIALISTA
RMMAESP;RM Mama Bilateral Especialista;Ressonância;41101480;;;307,68;Jejum 4 horas Trazer exames anteriores, se tiver. Chegar com 30 minutos de antecedência. Sem adorno, sem tatuagem recente 30 dias, Sem cabelo úmido. Caso tenha marca-passo ou algum dispositivo metálico, necessário ser informado anteriormente.;RM MAMA BILATERAL ESPECIALISTA
RMOMDIES;RM Ombro Direito Especialista;Ressonância;41101316;;;135,31;Trazer exames anteriores, se tiver. Chegar com 30 minutos de antecedência. Sem adorno, sem tatuagem recente 30 dias, Sem cabelo úmido. Caso tenha marca-passo ou algum dispositivo metálico, necessário ser informado anteriormente.;RM OMBRO DIREITO ESPECIALISTA
RMOMEES;RM Ombro Esquerdo Especialista;Ressonância;41101316;;;135,31;Trazer exames anteriores, se tiver. Chegar com 30 minutos de antecedência. Sem adorno, sem tatuagem recente 30 dias, Sem cabelo úmido. Caso tenha marca-passo ou algum dispositivo metálico, necessário ser informado anteriormente.;RM OMBRO ESQUERDO ESPECIALISTA
RMOBESP;RM Orbita Especialista;Ressonância;41101073;;;135,31;Jejum 4 horas Trazer exames anteriores, se tiver. Chegar com 30 minutos de antecedência. Sem adorno, sem tatuagem recente 30 dias, Sem cabelo úmido. Caso tenha marca-passo ou algum dispositivo metálico, necessário ser informado anteriormente.;RM ORBITA ESPECIALISTA
RMPEDESP;RM Pé Direito Especialista;Ressonância;41101308;;;135,31;Trazer exames anteriores, se tiver. Chegar com 30 minutos de antecedência. Sem adorno, sem tatuagem recente 30 dias, Sem cabelo úmido. Caso tenha marca-passo ou algum dispositivo metálico, necessário ser informado anteriormente.;RM PE DIREITO ESPECIALISTA
RMPEESES;RM Pé Esquerdo Especialista;Ressonância;41101308;;;135,31;Trazer exames anteriores, se tiver. Chegar com 30 minutos de antecedência. Sem adorno, sem tatuagem recente 30 dias, Sem cabelo úmido. Caso tenha marca-passo ou algum dispositivo metálico, necessário ser informado anteriormente.;RM PE ESQUERDO ESPECIALISTA
RMPELVES;RM Pelve Especialista;Ressonância;41101189;;;135,31;Jejum de 8 horas. Trazer exames anteriores, se tiver. Chegar com 30 minutos de antecedência. Sem adorno, sem tatuagem recente 30 dias, Sem cabelo úmido. Caso tenha marca-passo ou algum dispositivo metálico, necessário ser informado anteriormente. PELVE MASCULINO jejum DE 8 HORAS TOMAR UM COMPRIMIDO DE DULCOLAX AS 8H E AS 14H do dia anterior ao exame PELVE FEMiNINA PREPAROS PARA O EXAME DE MAPEAMENTO DE ENDOMETRIOSE: - Este exame deve ser realizado preferencialmente fora do período menstrual, exceto em casos de urgência ou em casos específicos solicitados pelo médico. - Tomar 01 comprimido de Ducolax (Bisacodil 5 mg) às 8 horas e outro às 14 horas. no dia anterior do exame. - Durante todo o dia, mantenha uma dieta leve (exemplo: suco de frutas somente coado, água, chá, café, água de coco, pão francês, bolacha de água e sal, sopa magra coada (sem sólidos) de caldo de carne ou frango, macarrão com molho vermelho ou alho e óleo (sem carne ou queijo ralado), purê de batata, arroz branco). - Não consumir: leite e derivados, verduras cruas, bagaço de frutas, salada de folhas, frituras, feijão, grão-debico, milho, lentilha, ervilha, sementes e similares. - Uma hora antes do exame, aplicar (via retal) 01 bisnaga de Phosfoenema.;RM PELVE ESPECIALISTA
RMPRDIES;RM Perna Direita Especialista;Ressonância;41101294;;;135,31;Trazer exames anteriores, se tiver. Chegar com 30 minutos de antecedência. Sem adorno, sem tatuagem recente 30 dias, Sem cabelo úmido. Caso tenha marca-passo ou algum dispositivo metálico, necessário ser informado anteriormente.;RM PERNA DIREITA ESPECIALISTA
RMPERSES;RM Perna Esquerda Especialista;Ressonância;41101294;;;135,31;Trazer exames anteriores, se tiver. Chegar com 30 minutos de antecedência. Sem adorno, sem tatuagem recente 30 dias, Sem cabelo úmido. Caso tenha marca-passo ou algum dispositivo metálico, necessário ser informado anteriormente.;RM PERNA ESQUERDA ESPECIALISTA
RMQUDIES;RM Quadril Direito Especialista;Ressonância;41101316;;;135,31;Trazer exames anteriores, se tiver. Chegar com 30 minutos de antecedência. Sem adorno, sem tatuagem recente 30 dias, Sem cabelo úmido. Caso tenha marca-passo ou algum dispositivo metálico, necessário ser informado anteriormente.;RM QUADRIL DIREITO ESPECIALISTA
RMQUAESE;RM Quadril Esquerdo Especialista;Ressonância;41101316;;;135,31;Trazer exames anteriores, se tiver. Chegar com 30 minutos de antecedência. Sem adorno, sem tatuagem recente 30 dias, Sem cabelo úmido. Caso tenha marca-passo ou algum dispositivo metálico, necessário ser informado anteriormente.;RM QUADRIL ESQUERDO ESPECIALISTA
RMSACOXE;RM Sacrococcigea Especialista;Ressonância;41101227;;;135,31;Jejum 4 horas Trazer exames anteriores, se tiver. Chegar com 30 minutos de antecedência. Sem adorno, sem tatuagem recente 30 dias, Sem cabelo úmido. Caso tenha marca-passo ou algum dispositivo metálico, necessário ser informado anteriormente.;RM SACROCOCCIGEA ESPECIALISTA
RMSACROE;RM Sacroilíacas Especialista;Ressonância;41101278;;;135,31;Jejum 4 horas Trazer exames anteriores, se tiver. Chegar com 30 minutos de antecedência. Sem adorno, sem tatuagem recente 30 dias, Sem cabelo úmido. Caso tenha marca-passo ou algum dispositivo metálico, necessário ser informado anteriormente.;RM SACROILIACAS ESPECIALISTA
RMTODES;RM Tornozelo Direito Especialista · Gerado Automaticamente;Ressonância;41101316;;;135,31;Jejum 4 horas Trazer exames anteriores, se tiver. Chegar com 30 minutos de antecedência. Sem adorno, sem tatuagem recente 30 dias, Sem cabelo úmido. Caso tenha marca-passo ou algum dispositivo metálico, necessário ser informado anteriormente. Página 39.;RM TORNOZELO DIREITO ESPECIALISTA · Gerado automaticamente
RMTORESP;RM Tornozelo Esquerdo Especialista;Ressonância;41101316;;;135,31;Jejum 4 horas Trazer exames anteriores, se tiver. Chegar com 30 minutos de antecedência. Sem adorno, sem tatuagem recente 30 dias, Sem cabelo úmido. Caso tenha marca-passo ou algum dispositivo metálico, necessário ser informado anteriormente.;RM TORNOZELO ESQUERDO ESPECIALISTA
RXCORACA;RX Coração;Raio-X;40805050;;;21,99;;RX CORACAO
RXESOFAG;RX Esôfago;Raio-X;40806030;;;45,67;;RX ESOFAGO
RXESDUOD;RX Estômago e Duodendo;Raio-X;40806049;;;67,66;Jejum de 6 horas, não mastigar chiclete nem fumar antes do exame. Para crianças: trazer 1 mamadeira vazia e outra mamadeira com leite ou suco. Trazer exames anteriores e chegar com 30 minutos de antecedência.;RX ESTOMAGO E DUODENDO
RXINADCR;RX Incidencia Adicional de Crânio Ou Face;Raio-X;40801209;;;6,16;;RX INCIDENCIA ADICIONAL DE CRANIO OU FACE
RXMASTOI;RX Mastoide;Raio-X;40801047;;;45,67;;RX MASTOIDE
TCCOLCTR;TC Coluna Cervical Trauma;Tomografia;41001125;;;135,31;SEM ADORNOS.;TC COLUNA CERVICAL TRAUMA
TCCOLDLC;TC Coluna Dorsal - Ate 3 Segmentos;Tomografia;41001125;;;135,31;SEM ADORNOS.;TC COLUNA DORSAL - ATE 3 SEGMENTOS
TCCODOTR;TC Coluna Dorsal Trauma;Tomografia;41001125;;;135,31;SEM ADORNOS.;TC COLUNA DORSAL TRAUMA
TCCOLOTR;TC Coluna Lombar Trauma;Tomografia;41001125;;;135,31;SEM ADORNOS.;TC COLUNA LOMBAR TRAUMA
TCESCCAL;TC Escore de Cálcio;Tomografia;41001087;;;124,92;;TC ESCORE DE CALCIO
